protein,pfam_name,pfam_accession,evalue,score
NP_415600.1,Flg_bbr_C,PF06429,3.6e-05,23.8
NP_415601.1,Flagellin_N,PF00669,1.5e-42,145.6
NP_415602.1,RNase_E_G,PF10150,4.2e-101,338.4
NP_415602.1,RNase_E_G_Thio,PF20833,2e-31,108.5
NP_415602.1,PNPase_C,PF12111,2.2e-17,62.8
NP_415602.1,S1,PF00575,1.1e-12,48.7
NP_415604.1,PseudoU_synth_2,PF00849,1.3e-28,100.7
NP_415604.1,S4,PF01479,3.8e-11,43.1
NP_415605.2,Maf,PF02545,1e-55,188.9
NP_415606.1,YceD,PF02620,4.3e-21,75.7
NP_415607.1,Ribosomal_L32p,PF01783,1.6e-20,73.6
NP_415608.2,FA_synthesis,PF02504,6.1e-133,443.5
NP_415609.1,ACP_syn_III_C,PF08541,1.1e-37,128.7
NP_415609.1,ACP_syn_III,PF08545,8.6e-30,103.1
NP_415610.1,Acyl_transf_1,PF00698,2.8e-40,139.3
NP_415611.1,adh_short_C2,PF13561,2e-66,224.5
NP_415611.1,adh_short,PF00106,2.1e-62,210.7
NP_415611.1,KR,PF08659,9.1e-21,75.2
NP_415611.1,Epimerase,PF01370,5e-06,26.7
NP_415612.1,PP-binding,PF00550,1.6e-16,60.9
NP_415613.1,ketoacyl-synt,PF00109,4.7e-61,207.2
NP_415613.1,Ketoacyl-synt_C,PF02801,5.9e-41,139.8
NP_415614.1,Aminotran_4,PF01063,1.5e-51,176.1
NP_415615.1,YceG,PF02618,2.1e-83,280.5
NP_415616.1,Thymidylate_kin,PF02223,1.2e-60,205.0
NP_415617.1,DNApol3-delta_C,PF09115,1.7e-38,132.2
NP_415617.1,DNA_pol3_delta2,PF13177,4.8e-38,131.3
NP_415617.1,HolB_lid,PF21500,5e-19,68.4
NP_415618.1,TatD_DNase,PF01026,2e-86,290.1
NP_415619.1,PTS_EIIC,PF02378,1.6e-85,287.6
NP_415619.1,PTS_EIIB,PF00367,3.3e-15,55.8
NP_415620.1,TonB_dep_Rec_b-barrel,PF00593,7.9e-53,181.4
NP_415620.1,Plug,PF07715,4.2e-19,69.6
NP_415621.3,HIT,PF01230,2.1e-31,109.1
NP_415621.3,DcpS_C,PF11969,9.1e-24,84.7
NP_415622.1,DUF1425,PF07233,3.3e-26,91.6
NP_415623.1,LpoB,PF13036,3.8e-37,128.0
NP_415624.1,APH,PF01636,2.8e-14,54.1
NP_415625.1,Glyco_hydro_3,PF00933,5e-112,375.0
NP_415626.4,UPF0227,PF05728,1.3e-77,260.5
NP_415627.1,Pyr_redox_2,PF07992,1e-64,219.3
NP_415627.1,Pyr_redox,PF00070,3.3e-16,60.1
NP_415627.1,DAO,PF01266,6.1e-10,39.8
NP_415627.1,NAD_binding_9,PF13454,2.3e-06,28.2
NP_415627.1,Lycopene_cycl,PF05834,2.9e-05,23.9
NP_415628.1,Rick_17kDa_Anti,PF05433,4.5e-11,43.0
NP_415629.4,TetR_N,PF00440,1.1e-15,57.7
NP_415629.4,TetR_C_13,PF16925,5.8e-09,36.9
NP_415630.1,YdgH_BhsA-like,PF07338,2.9e-20,72.6
NP_415631.1,Ldt_C,PF17969,1.4e-24,87.1
NP_415631.1,YkuD,PF03734,1.8e-22,81.0
NP_415631.1,LysM,PF01476,1e-05,26.0
NP_415632.1,TRCF,PF03461,2.3e-31,108.5
NP_415632.1,DEAD,PF00270,5.9e-29,101.5
NP_415632.1,MFD_D3,PF21132,2.1e-28,98.7
NP_415632.1,UvrB_inter,PF17757,5.5e-26,91.1
NP_415632.1,Helicase_C,PF00271,9.4e-23,81.2
NP_415632.1,CarD_TRCF_RID,PF02559,1.2e-19,70.7
NP_415632.1,ResIII,PF04851,6.1e-14,52.8
NP_415632.1,UB2H,PF14814,1.3e-06,29.0
NP_415632.1,Cas3-like_C_2,PF22590,4e-06,27.6
NP_415633.1,Acyl_transf_3,PF01757,2.2e-27,96.6
NP_415634.1,FtsX,PF02687,3.6e-17,63.1
NP_415634.1,MacB_PCD,PF12704,9e-14,52.8
NP_415635.4,ABC_tran,PF00005,1.5e-38,133.1
NP_415635.4,AAA_21,PF13304,2.1e-07,31.8
NP_415636.1,FtsX,PF02687,1.2e-18,67.9
NP_415636.1,MacB_PCD,PF12704,8.5e-18,66.0
NP_415637.1,ROK,PF00480,2.6e-71,241.1
NP_415637.1,Glucokinase,PF02685,3.8e-09,36.6
NP_415638.3,SIR2,PF02146,5e-54,183.6
NP_415639.1,TPM_phosphatase,PF04536,4.7e-07,30.3
NP_415640.2,DUF3592,PF12158,1.1e-06,29.8
NP_415641.1,SBP_bac_8,PF13416,3.3e-39,135.9
NP_415641.1,SBP_bac_6,PF13343,2.7e-31,109.5
NP_415641.1,SBP_bac_1,PF01547,2e-18,68.0
NP_415641.1,SBP_bac_11,PF13531,4.4e-14,53.4
NP_415641.1,Lipoprotein_8,PF02030,2.5e-09,37.0
NP_415642.1,BPD_transp_1,PF00528,2e-19,70.6
NP_415643.3,BPD_transp_1,PF00528,2.4e-14,54.1
NP_415644.1,ABC_tran,PF00005,5.3e-37,128.1
NP_415644.1,TOBE_2,PF08402,1.3e-05,25.8
NP_415644.1,TniB,PF05621,7.9e-05,22.8
NP_415645.1,Peptidase_M20,PF01546,5.2e-17,63.0
NP_415645.1,M20_dimer,PF07687,9.3e-16,58.3
NP_415645.1,Peptidase_M42,PF05343,8.1e-06,25.7
NP_415646.4,JmjC_2,PF08007,2.1e-41,141.0
NP_415646.4,WHD_ROXA,PF20514,2.9e-34,118.2
NP_415647.1,PhoQ_Sensor,PF08918,3e-87,291.8
NP_415647.1,HATPase_c,PF02518,7.3e-17,62.4
NP_415647.1,HAMP_PhoQ,PF26769,4.1e-08,33.6
NP_415648.1,Response_reg,PF00072,4.4e-26,91.8
NP_415648.1,Trans_reg_C,PF00486,1.8e-19,70.2
NP_415649.1,Lyase_1,PF00206,1.3e-83,281.6
NP_415649.1,ASL_C,PF08328,7.4e-53,178.1
NP_415650.1,DUF489,PF04356,7.4e-75,251.9
NP_415651.4,tRNA_Me_trans,PF03054,3.3e-84,282.2
NP_415651.4,tRNA_Me_trans_C,PF20258,9.3e-28,97.0
NP_415651.4,tRNA_Me_trans_M,PF20259,3.1e-24,84.9
NP_415651.4,NAD_synthase,PF02540,1.2e-09,38.2
NP_415651.4,ThiI,PF02568,1.7e-05,25.1
NP_415652.1,NUDIX,PF00293,4e-20,72.8
NP_415653.4,PseudoU_synth_2,PF00849,6.6e-18,66.0
NP_415654.1,Iso_dh,PF00180,1.6e-92,311.1
NP_415655.1,Methyltransf_12,PF08242,1e-07,33.2
NP_415655.1,Methyltransf_11,PF08241,0.0001,23.4
NP_415655.1,TehB,PF03848,8.6e-05,22.6
NP_415657.1,Peptidase_U49,PF10463,5.8e-51,173.7
NP_415658.1,Arm-DNA-bind_1,PF09003,1.3e-37,128.2
NP_415658.1,Phage_integrase,PF00589,1.6e-16,61.1
NP_415659.1,Exc,PF07825,2.4e-12,47.2
NP_415663.1,Peptidase_S24,PF00717,1.4e-26,93.0
NP_415665.2,Phage_CP76,PF06892,8e-13,49.1
NP_415671.1,Phage_Mu_Gp48,PF10076,1.5e-26,93.6
NP_415672.1,Gp53-like_C,PF21882,1.2e-15,58.3
NP_415673.1,Caudo_TAP,PF02413,1.5e-19,71.0
NP_415674.1,Caudo_TAP_N,PF28596,5.1e-34,116.5
NP_415674.1,Caudo_TAP,PF02413,9.7e-33,113.7
NP_415676.1,Resolvase,PF00239,6.2e-51,172.9
NP_415676.1,HTH_7,PF02796,2.9e-14,53.5
NP_415677.1,HNH,PF01844,3.9e-15,56.3
NP_415678.1,PmrD,PF11183,1.3e-27,96.5
NP_415679.1,DUF1398,PF07166,1.4e-47,161.2
NP_415680.1,MlrA_C,PF22267,3.4e-32,111.2
NP_415680.1,MlrA_helical,PF22270,3.7e-29,101.2
NP_415680.1,MerR_1,PF13411,9.2e-19,67.9
NP_415680.1,MerR,PF00376,8.1e-13,48.6
NP_415681.1,EAL,PF00563,4.8e-49,167.5
NP_415681.1,BLUF,PF04940,2.6e-24,85.7
NP_415682.1,YmgB,PF10798,4.3e-17,62.2
NP_415684.1,YmgB,PF10798,2.1e-22,79.2
NP_415686.2,EAL,PF00563,1.3e-66,224.9
NP_415686.2,CSS-motif,PF12792,1.6e-31,109.9
NP_415689.2,YmgD,PF16456,1.1e-49,166.9
NP_415690.5,Gly-zipper_YMGG,PF13441,9.5e-17,61.4
NP_415690.5,Gly-zipper_Omp,PF13488,8.8e-11,42.1
NP_415690.5,Gly-zipper_OmpA,PF13436,1.2e-06,28.8
NP_415692.1,MinE,PF03776,7.5e-25,87.3
NP_415693.1,CbiA,PF01656,6.7e-20,71.9
NP_415693.1,AAA_31,PF13614,4e-19,69.8
NP_415693.1,ParA,PF10609,1.3e-15,58.2
NP_415693.1,ArsA_ATPase,PF02374,4e-09,36.7
NP_415693.1,MipZ,PF09140,2.2e-08,34.3
NP_415694.1,MinC_C,PF03775,7.7e-32,110.0
NP_415694.1,MinC_N,PF05209,2.3e-18,66.7
NP_415695.1,YcgJ,PF05666,8.1e-29,100.7
NP_415696.1,PPC,PF04151,8.5e-11,43.1
NP_415697.5,YcgL,PF05166,2.6e-34,118.0
NP_415698.1,FAA_hydrolase,PF01557,1.8e-58,198.3
NP_415699.5,CxxCxxCC,PF03692,2.9e-11,44.5
NP_415700.4,HlyE,PF06109,6.9e-148,493.0
NP_415701.1,Peptidase_S24,PF00717,3.4e-30,104.7
NP_415702.1,IMS,PF00817,2.2e-43,148.3
NP_415702.1,IMS_C,PF11799,9.7e-25,87.7
NP_415702.1,DUF4113,PF13438,5.9e-22,77.9
NP_415702.1,IMS_HHH,PF11798,1.2e-06,28.9
NP_415703.3,DsbB,PF02600,3.1e-45,154.8
NP_415704.1,NhaB,PF06450,2.3e-311,1033.6
NP_415704.1,CitMHS,PF03600,2.1e-21,76.9
NP_415705.1,FadR_C,PF07840,1.5e-75,253.2
NP_415705.1,GntR,PF00392,4.7e-20,71.6
NP_415705.1,FCD,PF07729,7.9e-06,26.9
NP_415706.1,SpoVR,PF04293,3.4e-181,603.0
NP_415706.1,SpoVR_C,PF24755,1.4e-26,92.9
NP_415707.1,DAO,PF01266,5.9e-82,276.6
NP_415707.1,Pyr_redox_2,PF07992,5.6e-08,33.1
NP_415707.1,Pyr_redox,PF00070,4.9e-07,30.8
NP_415707.1,NAD_binding_8,PF13450,4.8e-06,27.3
NP_415707.1,Amino_oxidase,PF01593,5.5e-06,26.5
NP_415707.1,FAD_binding_2,PF00890,2e-05,24.6
NP_415707.1,ApbA,PF02558,3e-05,24.3
NP_415708.1,Ala_racemase_N,PF01168,1.2e-66,225.1
NP_415708.1,Ala_racemase_C,PF00842,2.9e-41,140.6
NP_415709.2,Na_H_Exchanger,PF00999,1.9e-68,231.6
NP_415709.2,TrkA_C,PF02080,8.1e-11,42.3
NP_415709.2,CorC_HlyC,PF03471,1.5e-10,41.5
NP_415710.1,Peptidase_S66C,PF17676,2.7e-32,112.4
NP_415710.1,Peptidase_S66,PF02016,4.9e-21,75.6
NP_415711.2,SLT,PF01464,2e-28,98.9
NP_415712.1,PilZN,PF07317,9.2e-25,87.2
NP_415712.1,PilZ,PF07238,4.4e-09,37.2
NP_415713.1,Transgly_assoc,PF04226,3.6e-14,53.3
NP_415715.1,Trehalase,PF01204,2.9e-180,601.1
NP_415715.1,MGH1-like_GH,PF22422,1.2e-22,81.6
NP_415715.1,GDE_C,PF06202,7.8e-09,35.5
NP_415716.4,EIIA-man,PF03610,4.4e-27,95.1
NP_415716.4,PEP-utilisers_N,PF05524,4e-21,76.0
NP_415716.4,PTS-HPr,PF00381,2.6e-18,66.5
NP_415716.4,PEP-utilizers,PF00391,4e-13,49.3
NP_415717.1,Dak2,PF02734,4.3e-56,190.1
NP_415718.6,Dak1,PF02733,1.4e-124,415.7
NP_415719.2,Sigma54_activat,PF00158,2e-36,125.8
NP_415719.2,Sigma54_activ_2,PF14532,3e-15,57.3
NP_415719.2,PAS,PF00989,1.6e-14,54.5
NP_415719.2,AAA_lid_14,PF25601,4.2e-14,52.7
NP_415719.2,HTH_8,PF02954,8e-14,51.7
NP_415719.2,PAS_4,PF08448,1.1e-06,29.5
NP_415719.2,GAF,PF01590,9.5e-06,26.8
NP_415720.1,Autotransporter,PF03797,2.5e-37,129.6
NP_415720.1,Pertactin,PF03212,1.5e-37,128.8
NP_415721.1,YchF-GTPase_C,PF06071,3.1e-39,133.6
NP_415721.1,MMR_HSR1,PF01926,3.1e-20,73.0
NP_415721.1,FeoB_N,PF02421,9.2e-09,35.6
NP_415722.1,Pept_tRNA_hydro,PF01195,2.2e-63,214.0
NP_415723.1,DUF2583,PF10762,9.4e-47,158.0
NP_415724.2,Sulfate_transp,PF00916,4.6e-77,259.9
NP_415724.2,STAS,PF01740,7.6e-17,61.6
NP_415725.1,Pribosyltran_N,PF13793,3e-53,179.2
NP_415725.1,Pribosyl_synth,PF14572,1.6e-31,110.3
NP_415725.1,Pribosyltran,PF00156,8.7e-21,74.5
NP_415726.1,GHMP_kinases_N,PF00288,4.6e-18,65.8
NP_415726.1,GHMP_kinases_C,PF08544,2.2e-09,38.2
NP_415727.1,LolB,PF03550,5.7e-47,160.1
NP_415728.1,GlutR_N,PF05201,1.2e-56,191.3
NP_415728.1,Shikimate_DH,PF01488,2e-49,167.8
NP_415728.1,GlutR_dimer,PF00745,8.3e-25,87.6
NP_415729.1,PCRF,PF03462,1.2e-78,264.0
NP_415729.1,RF-1,PF00472,6.6e-43,145.9
NP_415730.1,PrmC_N,PF17827,7e-22,78.4
NP_415730.1,MTS,PF05175,4.3e-18,66.0
NP_415730.1,Methyltransf_31,PF13847,3e-16,60.1
NP_415730.1,Methyltransf_25,PF13649,1.4e-09,39.1
NP_415730.1,Methyltransf_4,PF02390,1.1e-08,35.3
NP_415730.1,Cons_hypoth95,PF03602,3.6e-06,27.3
NP_415730.1,PrmA,PF06325,6.4e-06,26.4
NP_415730.1,PCMT,PF01135,1.2e-05,25.7
NP_415730.1,Methyltransf_11,PF08241,7.8e-05,23.8
NP_415730.1,Methyltransf_16,PF10294,9.2e-05,22.8
NP_415730.1,UPF0020,PF01170,9.2e-05,22.8
NP_415731.1,SirB,PF04247,1e-35,123.0
NP_415732.1,Transglut_core2,PF13369,3.2e-44,150.7
NP_415732.1,TPR_9,PF13371,4.4e-24,84.9
NP_415733.1,DAHP_synth_1,PF00793,1.3e-71,241.2
NP_415734.1,Na_Ca_ex,PF01699,5.7e-24,85.4
NP_415735.1,ChaB,PF06150,5.4e-25,88.4
NP_415736.2,ChaC,PF04752,4.4e-57,193.5
NP_415737.1,DsrE,PF02635,7.5e-23,81.4
NP_415738.2,IAT_beta,PF11924,5.7e-103,344.9
NP_415739.1,Response_reg,PF00072,6.3e-31,107.4
NP_415739.1,GerE,PF00196,4.6e-23,81.2
NP_415739.1,Sigma70_r4_2,PF08281,3.4e-09,36.8
NP_415739.1,Sigma70_r4,PF04545,1.7e-06,28.0
NP_415739.1,HTH_24,PF13412,0.00013,22.1
NP_415740.1,HisKA_3,PF07730,2.1e-18,67.2
NP_415740.1,HATPase_c,PF02518,1.1e-15,58.6
NP_415740.1,HAMP,PF00672,2.6e-11,44.2
NP_415740.1,PilJ,PF13675,3e-08,34.3
NP_415741.1,MFS_1,PF07690,3.2e-16,59.8
NP_415742.1,Molybdopterin,PF00384,3.9e-76,257.0
NP_415742.1,NarG_dom_V,PF28599,2.5e-47,160.3
NP_415742.1,Molydop_binding,PF01568,1.9e-21,76.8
NP_415742.1,Nitr_red_alph_N,PF14710,7.7e-18,65.1
NP_415743.1,Fer4_11,PF13247,9e-37,125.9
NP_415743.1,Nitr_red_bet_C,PF14711,4e-31,107.0
NP_415743.1,Fer4_10,PF13237,2.3e-11,44.0
NP_415743.1,Fer4_7,PF12838,3.5e-09,37.6
NP_415743.1,Fer4_6,PF12837,1.6e-06,28.4
NP_415744.1,Nitrate_red_del,PF02613,8.8e-16,58.8
NP_415745.1,Nitrate_red_gam,PF02665,4.1e-76,256.0
NP_415748.1,Formyl_trans_N,PF00551,8.5e-60,202.2
NP_415748.1,ACT,PF01842,1.1e-09,38.5
NP_415749.1,YchJ_M-like,PF17775,5.3e-31,108.0
NP_415749.1,SEC-C,PF02810,1.3e-17,63.9
NP_415750.2,Patatin,PF01734,1.6e-33,117.1
NP_415751.1,Response_reg,PF00072,1.1e-28,100.2
NP_415752.1,NTP_transferase,PF00483,3.2e-28,99.5
NP_415753.1,Histone_HNS_N,PF22470,1.9e-26,92.3
NP_415753.1,Histone_HNS,PF00816,3.9e-17,62.2
NP_415754.1,TK,PF00265,1.1e-65,221.3
NP_415757.1,ADH_Fe_C,PF25137,2.6e-48,164.9
NP_415757.1,Fe-ADH,PF00465,1.9e-47,161.6
NP_415757.1,Aldedh,PF00171,3.2e-29,102.4
NP_415757.1,Fe-ADH_2,PF13685,8.6e-08,32.9
NP_415758.1,MarC,PF01914,1.7e-76,256.7
NP_415759.1,SBP_bac_5,PF00496,1.4e-96,324.4
NP_415760.1,BPD_transp_1,PF00528,1.5e-39,136.3
NP_415760.1,BPD_transp_1_N,PF19300,6.2e-10,39.9
NP_415761.1,BPD_transp_1,PF00528,3.9e-27,95.8
NP_415761.1,OppC_N,PF12911,1.3e-17,64.0
NP_415763.1,ABC_tran,PF00005,1.3e-32,113.9
NP_415763.1,oligo_HPY,PF08352,1e-19,71.3
NP_415764.4,DUF440,PF04269,3.2e-46,156.3
NP_415765.1,PLDc_2,PF13091,1.9e-40,138.3
NP_415765.1,PLDc,PF00614,2.6e-17,62.6
NP_415765.1,PLDc_N,PF13396,1.7e-06,28.5
NP_415766.1,TrkA_N,PF02254,6.3e-20,72.2
NP_415766.1,Ion_trans_2,PF07885,1.3e-15,57.6
NP_415767.2,YCII,PF03795,4.5e-33,114.2
NP_415768.1,TonB_N,PF16031,8.7e-38,130.6
NP_415768.1,TonB_C,PF03544,6.4e-20,72.0
NP_415769.1,4HBT,PF03061,1.8e-19,70.4
NP_415770.1,IspA,PF04279,1.4e-73,247.4
NP_415771.1,UPF0259,PF06790,1e-105,353.5
NP_415772.1,OmpW,PF03922,2.9e-81,272.6
NP_415772.1,OMP_b-brl,PF13505,5.8e-11,43.4
NP_415773.1,DUF892,PF05974,4.7e-51,173.6
NP_415774.1,DUF892,PF05974,3.2e-51,174.1
NP_415775.4,KGG,PF10685,6.5e-18,65.2
NP_415776.1,Trp_syntA,PF00290,4e-102,341.2
NP_415777.1,PALP,PF00291,2.5e-44,152.4
NP_415778.3,IGPS,PF00218,2.9e-100,335.3
NP_415778.3,PRAI,PF00697,6.2e-65,219.2
NP_415779.1,Glycos_transf_3,PF00591,4.7e-103,344.9
NP_415779.1,GATase,PF00117,2.6e-50,171.4
NP_415779.1,Glycos_trans_3N,PF02885,2.5e-17,63.0
NP_415779.1,Peptidase_C26,PF07722,5.2e-06,27.0
NP_415780.1,Chorismate_bind,PF00425,1.3e-76,258.2
NP_415780.1,Anth_synt_I_N,PF04715,4.8e-14,53.3
NP_415781.1,Leader_Trp,PF08255,5.3e-09,35.7
NP_415782.1,PHP,PF02811,8.5e-09,36.5
NP_415783.6,Sua5_yciO_yrdC,PF01300,4.5e-50,170.2
NP_415784.1,DUF2207,PF09972,6.4e-22,79.2
NP_415784.1,DUF2207_C,PF20990,6.5e-10,39.7
NP_415785.1,PseudoU_synth_2,PF00849,4.3e-20,73.1
NP_415785.1,S4,PF01479,3.9e-11,43.1
NP_415786.1,CobA_CobO_BtuR,PF02572,3.4e-65,220.0
NP_415786.1,Co_AT_N,PF12557,1.3e-05,25.6
NP_415787.1,adh_short,PF00106,2.1e-55,187.8
NP_415787.1,adh_short_C2,PF13561,1.4e-36,126.9
NP_415787.1,KR,PF08659,7.5e-15,55.9
NP_415787.1,SDR,PF23441,1.1e-06,28.9
NP_415787.1,Epimerase,PF01370,0.00011,22.3
NP_415787.1,Polysacc_synt_2,PF02719,0.00015,21.6
NP_415788.1,Peptidase_S49_N,PF08496,2.3e-60,203.5
NP_415788.1,Peptidase_S49,PF01343,2e-51,174.6
NP_415789.1,DUF2498,PF10692,7.8e-44,148.1
NP_415790.1,Topoisom_bac,PF01131,9.7e-129,430.5
NP_415790.1,Zn_Ribbon_Topo,PF08272,1.9e-37,127.3
NP_415790.1,Zn_ribbon_bTOP1,PF21372,1e-28,99.4
NP_415790.1,Toprim,PF01751,2.2e-21,76.4
NP_415790.1,Zn_ribbon_Top1,PF01396,6.1e-21,74.5
NP_415791.1,LysR_substrate,PF03466,5.1e-44,150.8
NP_415791.1,HTH_1,PF00126,2.9e-14,53.4
NP_415792.1,Aconitase,PF00330,1.2e-170,569.1
NP_415792.1,Aconitase_C,PF00694,1e-50,172.1
NP_415793.1,GTP_cyclohydro2,PF00925,6.1e-68,228.2
NP_415794.1,PAP2,PF01569,9.7e-28,97.1
NP_415795.1,LapA_dom,PF06305,2.3e-21,76.0
NP_415796.1,TPR_19,PF14559,1.2e-14,54.9
NP_415796.1,TPR_7,PF13176,1.1e-14,53.8
NP_415796.1,TPR_14,PF13428,5.9e-13,48.7
NP_415796.1,TPR_2,PF07719,9.9e-13,47.7
NP_415796.1,Zn_ribbon_LapB,PF18073,8.6e-12,45.1
NP_415796.1,TPR_12,PF13424,9.6e-10,39.1
NP_415796.1,TPR_8,PF13181,1.3e-09,38.0
NP_415796.1,TPR_1,PF00515,8.9e-09,35.4
NP_415796.1,TPR_16,PF13432,3.4e-08,34.4
NP_415796.1,ARM_TT21_5th,PF25064,1.5e-06,29.1
NP_415796.1,TPR_6,PF13174,2.2e-06,28.5
NP_415797.1,OMPdecase,PF00215,6.7e-69,232.7
NP_415798.2,SUI1,PF01253,2.4e-20,73.3
NP_415799.1,Gly-zipper_YMGG,PF13441,8.8e-12,45.4
NP_415799.1,Rick_17kDa_Anti,PF05433,9.3e-08,32.4
NP_415800.1,DeoRC,PF00455,5.8e-47,160.2
NP_415800.1,HTH_DeoR,PF08220,7.2e-16,58.3
NP_415800.1,HTH_11,PF08279,2.9e-09,37.3
NP_415800.1,HTH_Mga,PF08280,3.2e-06,27.7
NP_415801.1,EAL,PF00563,2.8e-67,227.1
NP_415801.1,GGDEF,PF00990,2.4e-46,158.1
NP_415801.1,PAS_9,PF13426,4.7e-09,37.0
NP_415801.1,PAS,PF00989,7.5e-07,29.7
NP_415802.1,RNB,PF00773,8.4e-87,292.0
NP_415802.1,OB_RNB,PF08206,1e-19,70.5
NP_415802.1,S1,PF00575,6.7e-14,52.6
NP_415802.1,CSD2,PF17876,8.4e-08,32.8
NP_415804.1,adh_short_C2,PF13561,3.4e-88,295.8
NP_415804.1,adh_short,PF00106,3.1e-15,56.7
NP_415804.1,SDR,PF23441,1.3e-07,31.8
NP_415805.1,DUF559,PF04480,1.5e-49,167.0
NP_415806.1,ABC_tran,PF00005,4.4e-36,125.1
NP_415807.1,ABC_tran,PF00005,9.7e-31,107.8
NP_415807.1,oligo_HPY,PF08352,2.4e-17,63.6
NP_415807.1,AAA_21,PF13304,1.9e-07,31.9
NP_415808.1,BPD_transp_1,PF00528,9.1e-19,68.5
NP_415808.1,OppC_N,PF12911,1.2e-12,48.1
NP_415809.1,BPD_transp_1,PF00528,6.3e-42,144.0
NP_415810.1,SBP_bac_5,PF00496,2.9e-88,297.1
NP_415811.1,DUF2543,PF10820,5.9e-47,158.4
NP_415812.4,AA_permease,PF00324,1.1e-40,140.3
NP_415812.4,AA_permease_2,PF13520,6.8e-29,101.6
NP_415813.4,Gln-synt_C,PF00120,1.6e-106,356.8
NP_415814.4,Peptidase_C26,PF07722,6.8e-69,232.6
NP_415814.4,GATase,PF00117,8.2e-12,45.8
NP_415815.1,Cupin_2,PF07883,7e-19,67.9
NP_415815.1,HTH_3,PF01381,7.1e-15,55.4
NP_415815.1,HTH_31,PF13560,1.6e-10,41.7
NP_415815.1,HTH_26,PF13443,9.7e-05,23.1
NP_415815.1,AraC_binding,PF02311,0.00013,22.3
NP_415816.1,Aldedh,PF00171,1.9e-170,568.0
NP_415817.1,DAO,PF01266,2.1e-74,251.8
NP_415817.1,Thi4,PF01946,6.3e-07,29.5
NP_415817.1,NAD_binding_8,PF13450,1.6e-05,25.7
NP_415817.1,FAD_binding_3,PF01494,1.9e-05,24.6
NP_415817.1,Amino_oxidase,PF01593,2.8e-05,24.2
NP_415817.1,FAD_binding_2,PF00890,0.00016,21.6
NP_415818.1,Aminotran_3,PF00202,1.6e-132,442.6
NP_415818.1,Aminotran_1_2,PF00155,0.00038,20.3
NP_415819.4,Sigma54_activat,PF00158,4.8e-63,212.4
NP_415819.4,Sigma54_activ_2,PF14532,8.2e-18,65.6
NP_415819.4,AAA_lid_14,PF25601,2.5e-16,59.9
NP_415819.4,AAA_5,PF07728,1e-07,32.6
NP_415819.4,Mg_chelatase,PF01078,5.4e-07,29.8
NP_415819.4,HTH_8,PF02954,1.9e-05,24.9
NP_415820.1,PspA_IM30,PF04012,1e-48,166.5
NP_415821.1,PspB,PF06667,8.7e-33,112.8
NP_415822.1,PspC,PF04024,6.5e-17,61.7
NP_415823.1,Phageshock_PspD,PF09584,2.1e-29,101.5
NP_415824.1,Rhodanese,PF00581,4.9e-16,59.6
NP_415825.4,Alpha-amylase,PF00128,3.2e-22,79.9
NP_415826.1,SBP_bac_1,PF01547,2.7e-43,149.7
NP_415826.1,SBP_bac_8,PF13416,3.6e-33,116.1
NP_415827.1,BPD_transp_1,PF00528,2.8e-23,83.2
NP_415828.1,BPD_transp_1,PF00528,5.3e-17,62.7
NP_415829.1,ADH_zinc_N,PF00107,2e-26,93.1
NP_415830.2,AP_endonuc_2,PF01261,2.6e-45,155.7
NP_415831.1,GFO_IDH_MocA_C,PF02894,2.8e-41,142.3
NP_415831.1,GFO_IDH_MocA,PF01408,2.8e-35,122.2
NP_415831.1,GFO_IDH_MocA_C3,PF22725,2.8e-16,60.2
NP_415831.1,NAD_binding_3,PF03447,1.8e-06,29.2
NP_415832.1,Glyco_hydro_65m,PF03632,1.6e-148,495.2
NP_415832.1,Glyco_hydro_65N,PF03636,1.2e-49,169.7
NP_415832.1,Glyco_hydro_65C,PF03633,1.4e-14,54.2
NP_415833.1,Hydrolase,PF00702,3.3e-24,86.9
NP_415833.1,HAD_2,PF13419,9.9e-22,78.4
NP_415835.1,Porin_OmpG,PF09381,5.3e-98,328.8
NP_415835.1,OMP_b-brl,PF13505,1.4e-10,42.2
NP_415835.1,DUF481,PF04338,7.1e-08,33.3
NP_415836.1,Peripla_BP_1,PF00532,1.2e-24,87.9
NP_415836.1,Peripla_BP_3,PF13377,4.9e-23,82.6
NP_415836.1,LacI,PF00356,2.8e-20,72.4
NP_415836.1,Peripla_BP_4,PF13407,1.8e-17,64.3
NP_415837.1,DUF463,PF04317,1.2e-180,601.8
NP_415838.1,DUF697,PF05128,1.4e-55,188.1
NP_415839.1,Sigma54_activat,PF00158,7.7e-57,192.2
NP_415839.1,HTH_50,PF18024,6.9e-20,71.1
NP_415839.1,Sigma54_activ_2,PF14532,1.9e-16,61.2
NP_415839.1,AAA_lid_14,PF25601,1.5e-15,57.4
NP_415839.1,PAS_8,PF13188,2.9e-05,24.4
NP_415839.1,AAA,PF00004,0.00016,22.7
NP_415840.1,Redoxin,PF08534,4e-39,134.3
NP_415840.1,AhpC-TSA,PF00578,3.6e-16,59.8
NP_415841.4,MR_MLE_N,PF02746,3.2e-33,115.0
NP_415841.4,MR_MLE_C,PF13378,1.9e-26,93.7
NP_415842.2,Peptidase_M14,PF00246,1.1e-12,48.8
NP_415843.2,Hydrolase_4,PF12146,7.7e-09,35.8
NP_415843.2,Peptidase_S15,PF02129,4.7e-08,33.6
